Type,Size,Algorithm,Threshold,Time(ms)
Reverse,12500,MergeHybrid,5,6
Reverse,12500,MergeHybrid,10,5
Reverse,12500,MergeHybrid,20,4
Reverse,12500,MergeHybrid,30,4
Reverse,12500,MergeHybrid,50,4
Reverse,13000,MergeSort,0,10
Reverse,13000,MergeHybrid,5,6
Reverse,13000,MergeHybrid,10,5
Reverse,13000,MergeHybrid,20,4
Reverse,13000,MergeHybrid,30,4
Reverse,13000,MergeHybrid,50,4
Reverse,13500,MergeSort,0,10
Reverse,13500,MergeHybrid,5,6
Reverse,13500,MergeHybrid,10,5
Reverse,13500,MergeHybrid,20,4.5
Reverse,13500,MergeHybrid,30,4
Reverse,13500,MergeHybrid,50,4
Reverse,14000,MergeSort,0,10
Reverse,14000,MergeHybrid,5,6
Reverse,14000,MergeHybrid,10,5
Reverse,14000,MergeHybrid,20,5
Reverse,14000,MergeHybrid,30,5
Reverse,14000,MergeHybrid,50,5
Reverse,14500,MergeSort,0,11
Reverse,14500,MergeHybrid,5,6.5
Reverse,14500,MergeHybrid,10,5
Reverse,14500,MergeHybrid,20,5
Reverse,14500,MergeHybrid,30,5
Reverse,14500,MergeHybrid,50,5
Reverse,15000,MergeSort,0,11
Reverse,15000,MergeHybrid,5,7
Reverse,15000,MergeHybrid,10,5.5
Reverse,15000,MergeHybrid,20,5
Reverse,15000,MergeHybrid,30,5
Reverse,15000,MergeHybrid,50,5
Reverse,15500,MergeSort,0,12
Reverse,15500,MergeHybrid,5,7
Reverse,15500,MergeHybrid,10,6
Reverse,15500,MergeHybrid,20,5.5
Reverse,15500,MergeHybrid,30,5.5
Reverse,15500,MergeHybrid,50,5
Reverse,16000,MergeSort,0,12
Reverse,16000,MergeHybrid,5,7
Reverse,16000,MergeHybrid,10,6
Reverse,16000,MergeHybrid,20,5
Reverse,16000,MergeHybrid,30,5
Reverse,16000,MergeHybrid,50,5
Reverse,16500,MergeSort,0,12
Reverse,16500,MergeHybrid,5,7
Reverse,16500,MergeHybrid,10,6
Reverse,16500,MergeHybrid,20,6
Reverse,16500,MergeHybrid,30,6
Reverse,16500,MergeHybrid,50,6
Reverse,17000,MergeSort,0,13
Reverse,17000,MergeHybrid,5,7.5
Reverse,17000,MergeHybrid,10,6
Reverse,17000,MergeHybrid,20,6
Reverse,17000,MergeHybrid,30,6
Reverse,17000,MergeHybrid,50,6
Reverse,17500,MergeSort,0,13
Reverse,17500,MergeHybrid,5,8
Reverse,17500,MergeHybrid,10,6.5
Reverse,17500,MergeHybrid,20,6
Reverse,17500,MergeHybrid,30,6
Reverse,17500,MergeHybrid,50,6
Reverse,18000,MergeSort,0,14
Reverse,18000,MergeHybrid,5,8
Reverse,18000,MergeHybrid,10,7
Reverse,18000,MergeHybrid,20,6
Reverse,18000,MergeHybrid,30,6
Reverse,18000,MergeHybrid,50,6
Reverse,18500,MergeSort,0,14
Reverse,18500,MergeHybrid,5,8
Reverse,18500,MergeHybrid,10,7
Reverse,18500,MergeHybrid,20,6
Reverse,18500,MergeHybrid,30,6.5
Reverse,18500,MergeHybrid,50,7
Reverse,19000,MergeSort,0,15
Reverse,19000,MergeHybrid,5,8
Reverse,19000,MergeHybrid,10,7
Reverse,19000,MergeHybrid,20,6.5
Reverse,19000,MergeHybrid,30,6
Reverse,19000,MergeHybrid,50,7
Reverse,19500,MergeSort,0,15
Reverse,19500,MergeHybrid,5,8
Reverse,19500,MergeHybrid,10,7
Reverse,19500,MergeHybrid,20,7
Reverse,19500,MergeHybrid,30,7
Reverse,19500,MergeHybrid,50,7
Reverse,20000,MergeSort,0,16
Reverse,20000,MergeHybrid,5,8.5
Reverse,20000,MergeHybrid,10,7
Reverse,20000,MergeHybrid,20,7
Reverse,20000,MergeHybrid,30,7
Reverse,20000,MergeHybrid,50,7
AlmostSorted,500,MergeSort,0,0
AlmostSorted,500,MergeHybrid,5,0
AlmostSorted,500,MergeHybrid,10,0
AlmostSorted,500,MergeHybrid,20,0
AlmostSorted,500,MergeHybrid,30,0
AlmostSorted,500,MergeHybrid,50,0
AlmostSorted,1000,MergeSort,0,0
AlmostSorted,1000,MergeHybrid,5,0
AlmostSorted,1000,MergeHybrid,10,0
AlmostSorted,1000,MergeHybrid,20,0
AlmostSorted,1000,MergeHybrid,30,0
AlmostSorted,1000,MergeHybrid,50,0
AlmostSorted,1500,MergeSort,0,1
AlmostSorted,1500,MergeHybrid,5,0
AlmostSorted,1500,MergeHybrid,10,0
AlmostSorted,1500,MergeHybrid,20,0
AlmostSorted,1500,MergeHybrid,30,0
AlmostSorted,1500,MergeHybrid,50,0
AlmostSorted,2000,MergeSort,0,1
AlmostSorted,2000,MergeHybrid,5,0
AlmostSorted,2000,MergeHybrid,10,0
AlmostSorted,2000,MergeHybrid,20,0
AlmostSorted,2000,MergeHybrid,30,0
AlmostSorted,2000,MergeHybrid,50,0
AlmostSorted,2500,MergeSort,0,1
AlmostSorted,2500,MergeHybrid,5,0
AlmostSorted,2500,MergeHybrid,10,0
AlmostSorted,2500,MergeHybrid,20,0
AlmostSorted,2500,MergeHybrid,30,0
AlmostSorted,2500,MergeHybrid,50,0
AlmostSorted,3000,MergeSort,0,2
AlmostSorted,3000,MergeHybrid,5,1
AlmostSorted,3000,MergeHybrid,10,1
AlmostSorted,3000,MergeHybrid,20,0
AlmostSorted,3000,MergeHybrid,30,0
AlmostSorted,3000,MergeHybrid,50,0
AlmostSorted,3500,MergeSort,0,2
AlmostSorted,3500,MergeHybrid,5,1
AlmostSorted,3500,MergeHybrid,10,1
AlmostSorted,3500,MergeHybrid,20,0
AlmostSorted,3500,MergeHybrid,30,0
AlmostSorted,3500,MergeHybrid,50,0
AlmostSorted,4000,MergeSort,0,2
AlmostSorted,4000,MergeHybrid,5,1
AlmostSorted,4000,MergeHybrid,10,1
AlmostSorted,4000,MergeHybrid,20,1
AlmostSorted,4000,MergeHybrid,30,1
AlmostSorted,4000,MergeHybrid,50,0
AlmostSorted,4500,MergeSort,0,3
AlmostSorted,4500,MergeHybrid,5,1
AlmostSorted,4500,MergeHybrid,10,1
AlmostSorted,4500,MergeHybrid,20,1
AlmostSorted,4500,MergeHybrid,30,1
AlmostSorted,4500,MergeHybrid,50,1
AlmostSorted,5000,MergeSort,0,3
AlmostSorted,5000,MergeHybrid,5,1
AlmostSorted,5000,MergeHybrid,10,1
AlmostSorted,5000,MergeHybrid,20,1
AlmostSorted,5000,MergeHybrid,30,1
AlmostSorted,5000,MergeHybrid,50,1
AlmostSorted,5500,MergeSort,0,4
AlmostSorted,5500,MergeHybrid,5,2
AlmostSorted,5500,MergeHybrid,10,2
AlmostSorted,5500,MergeHybrid,20,1
AlmostSorted,5500,MergeHybrid,30,1
AlmostSorted,5500,MergeHybrid,50,1
AlmostSorted,6000,MergeSort,0,4
AlmostSorted,6000,MergeHybrid,5,2
AlmostSorted,6000,MergeHybrid,10,2
AlmostSorted,6000,MergeHybrid,20,1
AlmostSorted,6000,MergeHybrid,30,1
AlmostSorted,6000,MergeHybrid,50,1
AlmostSorted,6500,MergeSort,0,4
AlmostSorted,6500,MergeHybrid,5,2
AlmostSorted,6500,MergeHybrid,10,2
AlmostSorted,6500,MergeHybrid,20,2
AlmostSorted,6500,MergeHybrid,30,1
AlmostSorted,6500,MergeHybrid,50,1
AlmostSorted,7000,MergeSort,0,5
AlmostSorted,7000,MergeHybrid,5,3
AlmostSorted,7000,MergeHybrid,10,2
AlmostSorted,7000,MergeHybrid,20,2
AlmostSorted,7000,MergeHybrid,30,1
AlmostSorted,7000,MergeHybrid,50,1
AlmostSorted,7500,MergeSort,0,5
AlmostSorted,7500,MergeHybrid,5,3
AlmostSorted,7500,MergeHybrid,10,2
AlmostSorted,7500,MergeHybrid,20,2
AlmostSorted,7500,MergeHybrid,30,2
AlmostSorted,7500,MergeHybrid,50,1.5
AlmostSorted,8000,MergeSort,0,6
AlmostSorted,8000,MergeHybrid,5,3
AlmostSorted,8000,MergeHybrid,10,2
AlmostSorted,8000,MergeHybrid,20,2
AlmostSorted,8000,MergeHybrid,30,2
AlmostSorted,8000,MergeHybrid,50,2
AlmostSorted,8500,MergeSort,0,6
AlmostSorted,8500,MergeHybrid,5,3
AlmostSorted,8500,MergeHybrid,10,3
AlmostSorted,8500,MergeHybrid,20,2
AlmostSorted,8500,MergeHybrid,30,2
AlmostSorted,8500,MergeHybrid,50,2
AlmostSorted,9000,MergeSort,0,6
AlmostSorted,9000,MergeHybrid,5,3
AlmostSorted,9000,MergeHybrid,10,3
AlmostSorted,9000,MergeHybrid,20,2
AlmostSorted,9000,MergeHybrid,30,2
AlmostSorted,9000,MergeHybrid,50,2
AlmostSorted,9500,MergeSort,0,7
AlmostSorted,9500,MergeHybrid,5,4
AlmostSorted,9500,MergeHybrid,10,3
AlmostSorted,9500,MergeHybrid,20,2
AlmostSorted,9500,MergeHybrid,30,2
AlmostSorted,9500,MergeHybrid,50,2
AlmostSorted,10000,MergeSort,0,7
AlmostSorted,10000,MergeHybrid,5,4
AlmostSorted,10000,MergeHybrid,10,3
AlmostSorted,10000,MergeHybrid,20,3
AlmostSorted,10000,MergeHybrid,30,3
AlmostSorted,10000,MergeHybrid,50,2
AlmostSorted,10500,MergeSort,0,8
AlmostSorted,10500,MergeHybrid,5,4
AlmostSorted,10500,MergeHybrid,10,3
AlmostSorted,10500,MergeHybrid,20,3
AlmostSorted,10500,MergeHybrid,30,3
AlmostSorted,10500,MergeHybrid,50,2
AlmostSorted,11000,MergeSort,0,8
AlmostSorted,11000,MergeHybrid,5,4
AlmostSorted,11000,MergeHybrid,10,4
AlmostSorted,11000,MergeHybrid,20,3
AlmostSorted,11000,MergeHybrid,30,3
AlmostSorted,11000,MergeHybrid,50,2
AlmostSorted,11500,MergeSort,0,8
AlmostSorted,11500,MergeHybrid,5,5
AlmostSorted,11500,MergeHybrid,10,4
AlmostSorted,11500,MergeHybrid,20,4
AlmostSorted,11500,MergeHybrid,30,3
AlmostSorted,11500,MergeHybrid,50,2.5
AlmostSorted,12000,MergeSort,0,9
AlmostSorted,12000,MergeHybrid,5,5
AlmostSorted,12000,MergeHybrid,10,4.5
AlmostSorted,12000,MergeHybrid,20,4
AlmostSorted,12000,MergeHybrid,30,3
AlmostSorted,12000,MergeHybrid,50,3
AlmostSorted,12500,MergeSort,0,9
AlmostSorted,12500,MergeHybrid,5,6
AlmostSorted,12500,MergeHybrid,10,5
AlmostSorted,12500,MergeHybrid,20,4
AlmostSorted,12500,MergeHybrid,30,3
AlmostSorted,12500,MergeHybrid,50,3
AlmostSorted,13000,MergeSort,0,10
AlmostSorted,13000,MergeHybrid,5,6
AlmostSorted,13000,MergeHybrid,10,5
AlmostSorted,13000,MergeHybrid,20,4
AlmostSorted,13000,MergeHybrid,30,3
AlmostSorted,13000,MergeHybrid,50,3
AlmostSorted,13500,MergeSort,0,10
AlmostSorted,13500,MergeHybrid,5,6
AlmostSorted,13500,MergeHybrid,10,5
AlmostSorted,13500,MergeHybrid,20,4
AlmostSorted,13500,MergeHybrid,30,4
AlmostSorted,13500,MergeHybrid,50,4
AlmostSorted,14000,MergeSort,0,10
AlmostSorted,14000,MergeHybrid,5,6
AlmostSorted,14000,MergeHybrid,10,5
AlmostSorted,14000,MergeHybrid,20,4
AlmostSorted,14000,MergeHybrid,30,4
AlmostSorted,14000,MergeHybrid,50,4
AlmostSorted,14500,MergeSort,0,11
AlmostSorted,14500,MergeHybrid,5,6.5
AlmostSorted,14500,MergeHybrid,10,5
AlmostSorted,14500,MergeHybrid,20,4.5
AlmostSorted,14500,MergeHybrid,30,4
AlmostSorted,14500,MergeHybrid,50,4
AlmostSorted,15000,MergeSort,0,11
AlmostSorted,15000,MergeHybrid,5,7
AlmostSorted,15000,MergeHybrid,10,5.5
AlmostSorted,15000,MergeHybrid,20,5
AlmostSorted,15000,MergeHybrid,30,4
AlmostSorted,15000,MergeHybrid,50,4
AlmostSorted,15500,MergeSort,0,12
AlmostSorted,15500,MergeHybrid,5,7
AlmostSorted,15500,MergeHybrid,10,6
AlmostSorted,15500,MergeHybrid,20,5
AlmostSorted,15500,MergeHybrid,30,4
AlmostSorted,15500,MergeHybrid,50,4
AlmostSorted,16000,MergeSort,0,12
AlmostSorted,16000,MergeHybrid,5,7
AlmostSorted,16000,MergeHybrid,10,6
AlmostSorted,16000,MergeHybrid,20,5
AlmostSorted,16000,MergeHybrid,30,5
AlmostSorted,16000,MergeHybrid,50,4
AlmostSorted,16500,MergeSort,0,12.5
AlmostSorted,16500,MergeHybrid,5,7
AlmostSorted,16500,MergeHybrid,10,6
AlmostSorted,16500,MergeHybrid,20,5
AlmostSorted,16500,MergeHybrid,30,5
AlmostSorted,16500,MergeHybrid,50,4
AlmostSorted,17000,MergeSort,0,13
AlmostSorted,17000,MergeHybrid,5,7.5
AlmostSorted,17000,MergeHybrid,10,6
AlmostSorted,17000,MergeHybrid,20,5
AlmostSorted,17000,MergeHybrid,30,5
AlmostSorted,17000,MergeHybrid,50,5
AlmostSorted,17500,MergeSort,0,14
AlmostSorted,17500,MergeHybrid,5,8
AlmostSorted,17500,MergeHybrid,10,6
AlmostSorted,17500,MergeHybrid,20,5
AlmostSorted,17500,MergeHybrid,30,5
AlmostSorted,17500,MergeHybrid,50,5
AlmostSorted,18000,MergeSort,0,14
AlmostSorted,18000,MergeHybrid,5,8
AlmostSorted,18000,MergeHybrid,10,6.5
AlmostSorted,18000,MergeHybrid,20,6
AlmostSorted,18000,MergeHybrid,30,6
AlmostSorted,18000,MergeHybrid,50,5
AlmostSorted,18500,MergeSort,0,14.5
AlmostSorted,18500,MergeHybrid,5,8
AlmostSorted,18500,MergeHybrid,10,7
AlmostSorted,18500,MergeHybrid,20,6
AlmostSorted,18500,MergeHybrid,30,6
AlmostSorted,18500,MergeHybrid,50,5
AlmostSorted,19000,MergeSort,0,15
AlmostSorted,19000,MergeHybrid,5,8
AlmostSorted,19000,MergeHybrid,10,7
AlmostSorted,19000,MergeHybrid,20,6
AlmostSorted,19000,MergeHybrid,30,6
AlmostSorted,19000,MergeHybrid,50,5
AlmostSorted,19500,MergeSort,0,15
AlmostSorted,19500,MergeHybrid,5,9
AlmostSorted,19500,MergeHybrid,10,7
AlmostSorted,19500,MergeHybrid,20,6
AlmostSorted,19500,MergeHybrid,30,6
AlmostSorted,19500,MergeHybrid,50,5
AlmostSorted,20000,MergeSort,0,15
AlmostSorted,20000,MergeHybrid,5,9
AlmostSorted,20000,MergeHybrid,10,7
AlmostSorted,20000,MergeHybrid,20,6
AlmostSorted,20000,MergeHybrid,30,6
AlmostSorted,20000,MergeHybrid,50,5
